"Register to Create an Account","Legen Sie ein Benutzerkonto an."
"Register and save time!","Registrieren Sie sich um Zeit zu sparen."
"Register with us for future convenience:","Register with us for future convenience:"
"Fast and easy check out","Fast and easy check out"
"Easy access to your order history and status","Easy access to your order history and status"
Register,Register
"Returning Customers","Existierender Kunde"
"Sign in to speed up your checkout process","Sign in to speed up your checkout process"
"* Required Fields","*Pflichtfeld"
"Email Address","Email Address"
Password,Passwort
"Forgot your password?","Haben Sie Ihr Passwort vergessen?"
Login,Einloggen
"Click to apply coupon","Gutscheincode angeben"
"Enter your coupon code.","Geben Sie Ihren Gutscheincode an."
Apply,Apply
Remove,Entfernen
Total,Gesamtsumme
"Total incl. tax","Total incl. tax"
"Cart Items","Warenkorb"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Incl. Tax","Incl. Tax"
"Shipping Method","Versandmethode"
Totals,Gesamtsumme
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER"
"Add a gift message to my order","Fügen Sie eine Geschenknachricht zu Ihrer Bestellung"
From,From
To,To
Message,Message
"Save Message","Save Message"
"Checkout ID","Checkout ID"
Reservation,Reservation
Reference,Reference
"Bad request","Bad request"
"Order processed by Klarna.","Order processed by Klarna."
"Subtotal must exceed minimum order amount","Subtotal must exceed minimum order amount"
"Klarna Checkout","Klarna Checkout"
"Unable to select shipping method. Please try again.","Unable to select shipping method. Please try again."
"Coupon code ""%s"" was applied.","Der Gutscheincode ""%s"" wurde eingelöst."
"Coupon code ""%s"" is not valid.","Der Gutscheincode ""%s"" ist nicht gültig."
"Coupon code was canceled.","Der Gutscheincode wurde storniert."
"Cannot apply the coupon code.","Der Gutscheincode kann nicht eingelöst werden."
"Unable to complete order. Please try again","Unable to complete order. Please try again"
"Unable to process order. Please try again","Unable to process order. Please try again"
"Order already exist.","Order already exist."
"Unable to initialize Klarna checkout order","Unable to initialize Klarna checkout order"
"Object model is not defined.","Object model is not defined."
"Sales Tax","Sales Tax"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"Invalid method type ""%s","Invalid method type ""%s"
"Invalid billing details","Invalid billing details"
"Customer Address is not valid.","Customer Address is not valid."
"Invalid shipping method.","Invalid shipping method."
"Invalid checkout type.","Invalid checkout type."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Please enter a valid email address.","Please enter a valid email address."
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Confirmation request has been sent.","Confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription: %s","There was a problem with the subscription: %s"
"There was a problem with the subscription.","There was a problem with the subscription."
Disabled,Disabled
"Refund amount","Refund amount"
"Click here to visit the Klarna Merchant Onboarding Page and request credentials.":"Wenn Sie zur Klarna Onboarding Händlerseite gelangen und Zugangsdaten erhalten möchten, so klicken sie bitte hier."
"We use Klarna Checkout as our checkout, which offers a simplified purchase experience. When you choose to go to the checkout, your email address, first name, last name, date of birth, address and phone number may be automatically transferred to Klarna AB, enabling the provision of Klarna Checkout. <a href=""%s"" target=""_blank"">These User Terms</a> apply for the use of Klarna Checkout.","In unserem Kassenbereich nutzen wir Klarna Checkout. Dazu werden Ihre Daten, wie E-Mail-Adresse, Vor- und Nachname, Geburtsdatum, Adresse und Telefonnummer, soweit erforderlich, automatisch an Klarna AB übertragen, sobald Sie in den Kassenbereich gelangen. Die Nutzungsbedingungen für Klarna Checkout finden Sie <a href=""%s"" target=""_blank"">hier.</a>"
"Fill Address Details","Meine Adressdaten ausfüllen"
"Apply the terms of use for data transmission","Es gelten die Nutzungsbedingungen zur Datenübertragung"
"Grams","Gramm"
"Kg","Kg"
"Lbs","Lbs"
"Oz","Oz"
"Mm","Mm"
"Cm","Cm"
"Inch","Inch"
"Klarna Checkout Shipping Options","Klarna Checkout Lieferoptionen"
"Product weight unit","Einheit vom Produktgewicht"
"Defines which unit will be used for the product weights","Gibt an, welche Einheit für die Produktgewichte verwendet werden kann"
"Product size unit","einheit der Produktgröße"
"Defines which unit will be used for the product size","gibt an, welche Einheit für die Produktgröße verwendet werden kann"
"Product length attribute","Attribute der Produktlänge"
"Custom attribute for the product length attribute","Benutzerdefiniertes Attribut für das Attribut der Produktlänge"
"Product width attribute","Attribut der Produktweite"
"Custom attribute for the product width attribute","Benutzerdefiniertes Attribut für das Attribut der Produktbreite"
"Product height attribute","Attribut der Produkthöhe"
"Custom attribute for the product height attribute","Benutzerdefiniertes Attribut für das Attribut der Produkthöhe"
"Klarna shipping tax","Klarna Versandsteuer"